factor,characteristic,importance,share
1,taccruals_ni,8.427300956514147,0.007046715845685024
1,pi_nix,8.413847353723314,0.007035466251484352
1,sale_me,8.22584264808231,0.006878261027042978
1,eqnpo_me,7.970734755198161,0.006664945655914992
1,beta_dimson_21d,7.953289137946235,0.006650358030747544
1,at_be,7.8944011926651,0.006601117281037325
1,eqnetis_at,7.881786280208164,0.006590568980465063
1,bev_mev,7.723955419328478,0.006458594433212269
1,ocf_me,7.667758252885607,0.006411603651074665
1,div12m_me,7.654324756728278,0.006400370869579942
1,fnl_gr1a,7.508348888821072,0.006278309195649309
1,ivol_hxz4_21d,7.423055688540141,0.006206988977106001
1,ebit_sale,7.1849791341357765,0.006007914820734437
1,cop_atl1,7.116455554962158,0.005950616974881128
1,sti_gr1a,7.066950069533454,0.0059092216229862694
1,qmj_safety,7.063413288858202,0.0059062642480739915
1,ni_me,7.057086918089125,0.00590097428188266
1,inv_gr1a,7.02071049478319,0.005870557150722638
1,ope_be,7.001487506760491,0.0058544833288667495
1,at_turnover,6.906290650367737,0.00577488190014553
1,prc,6.815819117758009,0.005699231678833381
1,coskew_21d,6.73399293422699,0.00563081050020747
1,nncoa_gr1a,6.580962962574429,0.0055028503464556
1,age,6.45912308163113,0.005400970631454339
1,z_score,6.420275343788995,0.0053684870437393905
1,niq_be,6.403942863146464,0.005354830197883648
1,eq_dur,6.342894660101996,0.005303783090160325
1,lti_gr1a,6.272362139489916,0.005244805413535513
1,qmj_prof,6.21070216761695,0.0051932467587439265
1,turnover_var_126d,6.187710788514879,0.005174021894666006
1,ope_bel1,6.053843418757121,0.005062085069274361
1,op_atl1,5.991583824157715,0.005010025023706576
1,emp_gr1,5.9651907020145,0.004987955700089988
1,zero_trades_252d,5.9221939245859785,0.004952002780598635
1,iskew_hxz4_21d,5.826919396718343,0.0048723364047709074
1,zero_trades_21d,5.760818507936266,0.0048170643570775735
1,noa_at,5.685261037614611,0.004753884932713487
1,turnover_126d,5.5845857461293535,0.004669702562172923
1,op_at,5.580890708499485,0.004666612856423578
1,gp_atl1,5.580146418677436,0.00466599049833884
1,seas_1_1na,5.4622981150945025,0.004567448448810747
1,fcf_me,5.385124378734165,0.004502917539841519
1,at_me,5.36630027823978,0.004487177258591445
1,market_equity,5.233265466160244,0.004375936598842139
1,col_gr1a,5.2136635647879706,0.004359545938330746
1,dbnetis_at,5.132992717954847,0.004292090825763016
1,taccruals_at,4.99393453862932,0.0041758135644213695
1,rmax1_21d,4.9557691017786665,0.004143900501152269
1,ret_3_1,4.917529397540623,0.0041119253371965725
1,cowc_gr1a,4.915240221553379,0.004110011180720364
1,aliq_mat,4.9132549100452,0.004108351108754797
1,noa_gr1a,4.878899839189318,0.004079624186169619
1,tax_gr1a,4.724128524462382,0.003950207961263024
1,eqpo_me,4.716612100601196,0.003943922899960619
1,beta_60m,4.62342123190562,0.0038659988321601614
1,ami_126d,4.616569730970594,0.0038602697641638125
1,gp_at,4.610206974877252,0.0038549493733985424
1,sale_gr1,4.580934484799703,0.003830472388331019
1,mispricing_perf,4.513150546285841,0.0037737930130395327
1,sale_emp_gr1,4.455143305990431,0.0037252886886463043
1,iskew_capm_21d,4.433790405591329,0.003707433882894128
1,log_me_rank,4.38614696264267,0.0036675955282297213
1,eqnpo_12m,4.361866474151611,0.003647292740436358
1,prc_highprc_252d,4.15400931570265,0.0034734873501175083
1,ivol_ff3_21d,4.125458154413435,0.0034496135236447628
1,rmax5_21d,4.0589437286059065,0.00339399568577198
